,strategy_code,trade nr.,expiration,entry_date,entry_underlying,entry_vix,strikes,iv_legs,entry_price,exit_date,DIT,DTE,pnl,max risk,position size,percentage,exit
943,CDP,4,2008-01-19,2007-11-05,791.47,24.29,790/760/720,0.27/0.29/0.32,0.15,2007-11-20,15,60,3429,-99470,98,3.45%,le
944,CDP,5,2008-02-16,2007-12-03,763.69,23.55,760/730/690,0.29/0.31/0.34,0.30,2008-01-08,36,39,11640,-99910,97,11.65%,le
945,CDP,6,2008-03-22,2008-01-07,720.02,24.19,720/690/650,0.28/0.30/0.32,0.55,2008-01-18,11,64,4230,-99170,94,4.27%,le
946,CDP,7,2008-04-19,2008-02-04,724.40,25.45,720/690/650,0.29/0.31/0.33,0.45,2008-03-06,31,44,5225,-99275,95,5.26%,le
947,CDP,8,2008-05-17,2008-03-03,681.96,26.60,680/650/610,0.30/0.32/0.35,0.70,2008-04-08,36,39,11857,-99509,93,11.92%,ue
948,CDP,9,2008-06-21,2008-04-07,712.73,22.33,710/680/640,0.27/0.28/0.31,0.95,2008-05-15,38,37,8189,-99645,91,8.22%,ue
949,CDP,10,2008-09-20,2008-07-14,667.23,28.05,670/640/600,0.29/0.31/0.34,1.05,2008-08-12,29,39,450,-99449,90,0.45%,ue
950,CDP,11,2008-11-22,2008-09-09,711.86,25.36,710/680/640,0.28/0.30/0.32,0.85,2008-09-29,20,54,-13800,-99820,92,-13.82%,le
951,CDP,12,2008-12-20,2008-10-06,592.45,52.84,590/560/520,0.46/0.49/0.52,-0.90,2008-10-09,3,72,-20709,-99190,109,-20.88%,le
952,CDP,13,2009-01-17,2008-11-05,518.46,54.98,520/490/450,0.51/0.54/0.59,-0.30,2008-11-12,7,66,-9270,-99910,103,-9.28%,le
953,CDP,14,2009-02-21,2008-12-09,470.11,58.58,470/440/400,0.62/0.65/0.69,-0.70,2009-01-02,24,50,21934,-99510,107,22.04%,tp
954,CDP,15,2009-03-21,2009-01-05,502.99,39.41,500/470/430,0.45/0.48/0.51,0.40,2009-01-14,9,66,-4800,-99840,96,-4.81%,le
955,CDP,16,2009-04-18,2009-02-04,450.91,43.72,450/420/380,0.45/0.49/0.53,1.05,2009-02-20,16,57,4500,-99450,90,4.52%,le
956,CDP,17,2009-06-20,2009-04-06,446.33,41.44,450/420/380,0.49/0.51/0.53,0.75,2009-05-12,36,39,11160,-99975,93,11.16%,ue
957,CDP,18,2010-07-17,2010-05-06,675.31,36.78,680/650/610,0.32/0.35/0.38,1.00,2010-05-25,19,53,-899,-98999,90,-0.91%,le
958,CDP,19,2010-08-21,2010-06-07,619.79,36.80,620/590/550,0.41/0.43/0.47,0.05,2010-07-07,30,45,21284,-99494,99,21.39%,tp
959,CDP,20,2010-09-18,2010-07-06,591.22,30.41,590/560/520,0.38/0.40/0.44,0.90,2010-08-10,35,39,227,-99189,91,0.23%,ue
960,CDP,21,2010-10-16,2010-08-06,650.61,21.91,650/620/580,0.30/0.33/0.36,1.00,2010-08-23,17,54,3149,-99000,90,3.18%,le
961,CDP,22,2010-12-18,2010-10-04,669.10,23.85,670/640/600,0.31/0.33/0.37,1.00,2010-11-09,36,39,4725,-99000,90,4.77%,ue
962,CDP,23,2011-03-19,2011-01-04,786.05,17.52,790/760/720,0.25/0.27/0.30,1.10,2011-02-11,38,36,5625,-99900,90,5.63%,ue
963,CDP,24,2011-05-21,2011-03-07,815.02,20.49,820/790/750,0.26/0.28/0.30,0.70,2011-04-13,37,38,19994,-99510,93,20.09%,tp
964,CDP,25,2011-06-18,2011-04-07,851.50,17.19,850/820/780,0.23/0.25/0.27,0.90,2011-05-09,32,40,20930,-99190,91,21.10%,tp
965,CDP,26,2011-07-16,2011-05-02,854.28,16.11,850/820/780,0.23/0.25/0.27,0.30,2011-05-18,16,59,20855,-99910,97,20.87%,tp
966,CDP,27,2011-10-22,2011-08-08,667.42,44.59,670/640/600,0.40/0.43/0.46,0.00,2011-09-14,37,38,5940,-99000,99,6.00%,ue
967,CDP,28,2011-11-19,2011-09-06,675.68,37.86,680/650/610,0.40/0.43/0.46,-0.65,2011-10-03,27,47,-7949,-99109,106,-8.02%,le
968,CDP,29,2011-12-17,2011-10-03,615.75,44.30,620/590/550,0.50/0.52/0.55,-1.00,2011-11-08,36,39,14430,-99900,111,14.44%,ue
969,CDP,30,2012-01-21,2011-11-07,744.44,30.17,740/710/670,0.37/0.39/0.43,0.05,2011-11-22,15,60,-3465,-99495,99,-3.48%,le
970,CDP,31,2012-02-18,2011-12-07,747.81,28.53,750/720/680,0.36/0.38/0.41,0.55,2011-12-14,7,66,-7990,-99170,94,-8.06%,le
971,CDP,32,2012-03-17,2012-01-04,749.04,22.26,750/720/680,0.31/0.33/0.36,0.60,2012-02-07,34,39,470,-99640,94,0.47%,ue
972,CDP,33,2012-04-21,2012-02-10,814.06,21.52,810/780/740,0.27/0.29/0.32,0.70,2012-03-20,39,32,15809,-99510,93,15.89%,tp
973,CDP,34,2012-05-19,2012-03-05,803.05,18.12,800/770/730,0.26/0.28/0.30,0.90,2012-04-18,44,31,16834,-99190,91,16.97%,tp
974,CDP,35,2012-06-16,2012-04-04,820.73,16.38,820/790/750,0.24/0.26/0.28,1.05,2012-05-07,33,40,19350,-99450,90,19.46%,tp
975,CDP,36,2012-07-21,2012-05-09,791.34,19.93,790/760/720,0.25/0.27/0.29,0.95,2012-05-18,9,64,-5005,-99645,91,-5.02%,le
976,CDP,37,2012-08-18,2012-06-04,734.62,26.07,730/700/660,0.31/0.33/0.36,0.45,2012-07-10,36,39,6650,-99275,95,6.70%,ue
977,CDP,38,2013-08-17,2013-06-03,987.22,16.43,990/960/920,0.20/0.21/0.23,0.95,2013-07-10,37,38,8417,-99645,91,8.45%,ue
978,CDP,39,2013-12-21,2013-10-07,1067.02,18.89,1070/1040/1000,0.20/0.22/0.24,0.80,2013-11-12,36,39,12420,-99360,92,12.50%,ue
979,CDP,40,2014-04-19,2014-02-03,1093.06,21.13,1090/1060/1020,0.23/0.24/0.26,0.40,2014-03-11,36,39,719,-99839,96,0.72%,ue
980,CDP,41,2014-05-17,2014-03-03,1174.08,16.23,1170/1140/1100,0.19/0.20/0.22,0.80,2014-04-10,38,37,7819,-99359,92,7.87%,le
981,CDP,42,2014-06-21,2014-04-07,1137.40,15.25,1140/1110/1070,0.21/0.22/0.23,0.45,2014-05-08,31,44,12825,-99275,95,12.92%,le
982,CDP,43,2014-07-19,2014-05-05,1123.92,13.13,1120/1090/1050,0.20/0.21/0.22,0.60,2014-06-10,36,39,6109,-99640,94,6.13%,ue
983,CDP,44,2014-08-16,2014-06-02,1127.76,11.69,1130/1100/1060,0.18/0.20/0.21,0.85,2014-07-08,36,39,5520,-99820,92,5.53%,ue
984,CDP,45,2014-09-20,2014-07-08,1171.15,12.14,1170/1140/1100,0.18/0.19/0.20,0.95,2014-07-31,23,51,5915,-99644,91,5.94%,le
985,CDP,46,2014-10-18,2014-08-05,1118.87,16.60,1120/1090/1050,0.21/0.22/0.24,0.50,2014-09-09,35,39,9024,-99750,95,9.05%,ue
986,CDP,47,2014-11-22,2014-09-09,1157.90,13.67,1160/1130/1090,0.17/0.19/0.20,0.95,2014-09-25,16,58,910,-99644,91,0.91%,le
987,CDP,48,2014-12-20,2014-10-06,1096.19,15.26,1100/1070/1030,0.20/0.21/0.23,0.75,2014-10-10,4,71,-7439,-99975,93,-7.44%,le
988,CDP,49,2015-01-17,2014-11-03,1166.36,14.91,1170/1140/1100,0.19/0.21/0.22,0.60,2014-12-22,49,26,8694,-99639,94,8.73%,ue
989,CDP,50,2015-02-20,2014-12-08,1167.11,14.10,1170/1140/1100,0.20/0.21/0.23,0.65,2015-01-23,46,28,12555,-99045,93,12.68%,tp
990,CDP,51,2015-03-20,2015-01-05,1180.63,20.26,1180/1150/1110,0.22/0.24/0.26,0.15,2015-02-12,38,36,11760,-99470,98,11.82%,ue
991,CDP,52,2015-04-17,2015-02-04,1191.02,17.68,1190/1160/1120,0.21/0.22/0.24,0.15,2015-03-09,33,39,10779,-99470,98,10.84%,ue
992,CDP,53,2015-05-15,2015-03-03,1232.91,13.88,1230/1200/1160,0.17/0.18/0.20,0.85,2015-04-08,36,37,5519,-99820,92,5.53%,ue
993,CDP,54,2015-06-19,2015-04-07,1253.81,14.61,1250/1220/1180,0.17/0.19/0.20,0.60,2015-05-12,35,38,19740,-99640,94,19.81%,tp
994,CDP,55,2015-07-17,2015-05-05,1213.49,14.12,1210/1180/1140,0.19/0.20/0.22,0.50,2015-06-08,34,39,5700,-99750,95,5.71%,ue
995,CDP,56,2015-08-21,2015-06-08,1255.23,15.11,1260/1230/1190,0.16/0.18/0.20,0.60,2015-07-17,39,35,18800,-99640,94,18.87%,tp
996,CDP,57,2015-09-18,2015-07-06,1243.38,17.64,1240/1210/1170,0.19/0.21/0.22,-0.00,2015-07-28,22,52,19800,-99000,99,20.00%,tp
997,CDP,58,2015-10-16,2015-08-03,1229.53,12.69,1230/1200/1160,0.16/0.18/0.19,0.95,2015-08-20,17,57,-2730,-99644,91,-2.74%,le
998,CDP,59,2015-11-20,2015-09-09,1149.13,26.37,1150/1120/1080,0.23/0.25/0.27,-0.05,2015-09-28,19,53,-2000,-99499,100,-2.01%,le
999,CDP,60,2015-12-19,2015-10-06,1133.54,19.44,1130/1100/1060,0.22/0.23/0.25,0.30,2015-11-10,35,39,6790,-99910,97,6.80%,ue
1000,CDP,61,2016-01-15,2015-11-04,1187.02,15.70,1190/1160/1120,0.19/0.20/0.22,0.90,2015-11-13,9,63,-4549,-99190,91,-4.59%,le
1001,CDP,62,2016-02-19,2015-12-07,1159.29,16.53,1160/1130/1090,0.19/0.21/0.23,0.50,2015-12-11,4,70,-3325,-99750,95,-3.33%,le
1002,CDP,63,2016-03-18,2016-01-04,1105.73,21.62,1110/1080/1040,0.21/0.23/0.25,0.25,2016-01-07,3,71,-5334,-99425,97,-5.36%,le
1003,CDP,64,2016-04-15,2016-02-02,1007.33,22.03,1010/980/940,0.24/0.26/0.28,0.20,2016-02-08,6,67,-5390,-99960,98,-5.39%,le
1004,CDP,65,2016-05-20,2016-03-08,1069.56,18.57,1070/1040/1000,0.21/0.23/0.25,0.55,2016-04-12,35,38,9400,-99169,94,9.48%,ue
1005,CDP,66,2016-06-17,2016-04-04,1107.68,14.21,1110/1080/1040,0.18/0.20/0.21,0.95,2016-05-13,39,35,18199,-99645,91,18.26%,tp
1006,CDP,67,2016-07-15,2016-05-03,1119.26,15.84,1120/1090/1050,0.20/0.21/0.23,0.65,2016-06-06,34,39,3487,-99045,93,3.52%,ue
1007,CDP,68,2016-08-19,2016-06-09,1181.06,14.48,1180/1150/1110,0.18/0.19/0.21,1.10,2016-06-24,15,56,-6749,-99900,90,-6.76%,le
1008,CDP,69,2016-09-16,2016-07-05,1140.60,15.65,1140/1110/1070,0.20/0.21/0.23,0.70,2016-08-08,34,39,-2092,-99509,93,-2.10%,ue
1009,CDP,70,2016-10-21,2016-08-10,1221.89,12.26,1220/1190/1150,0.17/0.18/0.20,1.05,2016-09-22,43,29,450,-99449,90,0.45%,ue
1010,CDP,71,2016-11-18,2016-09-08,1257.54,12.16,1260/1230/1190,0.16/0.18/0.20,1.05,2016-09-13,5,66,-7200,-99449,90,-7.24%,le
1011,CDP,72,2016-12-16,2016-10-03,1244.20,13.50,1240/1210/1170,0.18/0.19/0.21,0.65,2016-10-27,24,50,6045,-99045,93,6.10%,le
1012,CDP,73,2017-01-20,2016-11-16,1303.68,13.71,1300/1270/1230,0.19/0.20/0.22,0.80,2016-12-12,26,39,0,-99359,92,0.00%,ue
1013,CDP,74,2017-02-17,2016-12-12,1373.00,12.64,1370/1340/1300,0.19/0.20/0.21,0.55,2017-01-13,32,35,18800,-99169,94,18.96%,tp
1014,CDP,75,2017-03-17,2017-01-05,1371.95,11.82,1370/1340/1300,0.18/0.19/0.21,0.65,2017-02-13,39,32,14880,-99044,93,15.02%,tp
1015,CDP,76,2017-04-21,2017-02-06,1366.00,11.27,1370/1340/1300,0.17/0.18/0.19,0.90,2017-03-14,36,38,19109,-99190,91,19.27%,tp
1016,CDP,77,2017-05-19,2017-03-06,1385.70,11.08,1390/1360/1320,0.17/0.18/0.19,0.70,2017-03-21,15,59,1395,-99510,93,1.40%,le
1017,CDP,78,2017-06-16,2017-04-04,1364.40,12.00,1360/1330/1290,0.16/0.17/0.19,1.00,2017-05-10,36,37,6750,-99000,90,6.82%,ue
1018,CDP,79,2017-10-20,2017-08-09,1394.53,11.75,1390/1360/1320,0.16/0.17/0.19,0.85,2017-09-12,34,38,4140,-99819,92,4.15%,ue
1019,CDP,80,2017-11-17,2017-09-05,1399.25,12.80,1400/1370/1330,0.15/0.16/0.18,0.75,2017-10-09,34,39,-3952,-99975,93,-3.95%,ue
1020,CDP,81,2018-04-20,2018-02-05,1506.35,31.80,1510/1480/1440,0.20/0.21/0.23,-0.30,2018-03-12,35,39,6694,-99910,103,6.70%,ue
1021,CDP,82,2018-05-18,2018-03-08,1570.00,17.13,1570/1540/1500,0.16/0.17/0.19,0.45,2018-03-23,15,56,-1425,-99275,95,-1.44%,le
1022,CDP,83,2018-06-15,2018-04-02,1488.45,24.29,1490/1460/1420,0.20/0.21/0.23,-0.15,2018-05-07,35,39,5302,-99485,101,5.33%,ue
1023,CDP,84,2018-09-21,2018-07-10,1694.60,12.66,1690/1660/1620,0.13/0.15/0.16,0.50,2018-08-10,31,42,19475,-99750,95,19.52%,tp
1024,CDP,85,2018-10-19,2018-08-13,1678.50,14.54,1680/1650/1610,0.12/0.14/0.15,1.05,2018-09-10,28,39,900,-99450,90,0.90%,ue
1025,CDP,86,2018-11-16,2018-09-04,1732.00,13.37,1730/1700/1660,0.13/0.14/0.15,0.70,2018-10-01,27,46,6044,-99510,93,6.07%,le
1026,CDP,87,2018-12-21,2018-10-08,1632.55,15.83,1630/1600/1560,0.15/0.17/0.18,0.15,2018-10-10,2,72,-8819,-99470,98,-8.87%,le
1027,CDP,88,2019-01-18,2018-11-05,1545.95,20.16,1550/1520/1480,0.20/0.21/0.23,-0.60,2018-11-14,9,65,-529,-99640,106,-0.53%,le
1028,CDP,89,2019-02-15,2018-12-04,1480.60,20.83,1480/1450/1410,0.20/0.21/0.23,-0.55,2018-12-13,9,64,-4724,-99225,105,-4.76%,le
1029,CDP,90,2019-03-15,2019-01-03,1335.65,25.26,1340/1310/1270,0.24/0.26/0.27,-0.90,2019-01-31,28,43,11990,-99190,109,12.09%,le
1030,CDP,91,2019-05-17,2019-03-04,1575.30,14.68,1580/1550/1510,0.14/0.16/0.17,0.60,2019-03-07,3,71,-7520,-99640,94,-7.55%,le
1031,CDP,92,2019-06-21,2019-04-08,1577.85,13.13,1580/1550/1510,0.15/0.16/0.17,0.45,2019-05-13,35,39,-5225,-99275,95,-5.26%,le
1032,CDP,93,2019-07-19,2019-05-07,1582.31,21.08,1580/1550/1510,0.19/0.20/0.22,-0.35,2019-05-13,6,67,-3605,-99395,103,-3.63%,le
1033,CDP,94,2019-08-16,2019-06-05,1506.79,16.37,1510/1480/1440,0.18/0.19/0.20,-0.15,2019-07-08,33,39,10099,-99485,101,10.15%,ue
1034,CDP,95,2019-09-20,2019-07-08,1561.39,13.88,1560/1530/1490,0.15/0.16/0.17,0.35,2019-08-05,28,46,-11520,-99360,96,-11.59%,le
1035,CDP,96,2019-10-18,2019-08-05,1487.41,23.16,1490/1460/1420,0.20/0.21/0.23,-0.60,2019-09-09,35,39,13249,-99640,106,13.30%,ue
1036,CDP,97,2019-11-15,2019-09-03,1472.28,19.80,1470/1440/1400,0.20/0.21/0.23,-0.50,2019-10-11,38,35,9450,-99750,105,9.47%,ue
1037,CDP,98,2019-12-20,2019-10-07,1497.79,17.75,1500/1470/1430,0.18/0.20/0.21,-0.30,2019-11-11,35,39,7210,-99910,103,7.22%,ue
1038,CDP,99,2020-01-17,2019-11-06,1590.40,12.87,1590/1560/1520,0.15/0.16/0.18,0.55,2019-12-09,33,39,2349,-99170,94,2.37%,ue
1039,CDP,100,2020-02-21,2019-12-09,1631.72,15.58,1630/1600/1560,0.15/0.17/0.18,0.15,2020-01-13,35,39,10289,-99470,98,10.34%,ue
1040,CDP,101,2020-03-20,2020-01-07,1659.85,13.55,1660/1630/1590,0.14/0.15/0.17,0.40,2020-01-31,24,49,-5760,-99840,96,-5.77%,le
1041,CDP,102,2020-04-17,2020-02-06,1679.77,14.90,1680/1650/1610,0.14/0.15/0.17,0.45,2020-02-24,18,53,-4749,-99275,95,-4.78%,le
1042,CDP,103,2020-05-15,2020-03-03,1492.95,37.17,1490/1460/1420,0.27/0.28/0.30,-1.25,2020-03-06,3,70,-12540,-99750,114,-12.57%,le
1043,CDP,104,2020-06-19,2020-04-13,1212.04,41.70,1210/1180/1140,0.42/0.44/0.46,-1.85,2020-05-11,28,39,15860,-99430,122,15.95%,ue
1044,CDP,105,2020-07-17,2020-05-06,1265.60,33.30,1270/1240/1200,0.39/0.40/0.42,-2.10,2020-05-13,7,65,-4409,-99540,126,-4.43%,le
1045,CDP,106,2020-08-21,2020-06-09,1507.05,27.20,1510/1480/1440,0.31/0.33/0.34,-1.80,2020-06-10,1,72,-4839,-99220,121,-4.88%,le
1046,CDP,107,2020-09-18,2020-07-07,1416.00,29.21,1420/1390/1350,0.33/0.35/0.36,-1.80,2020-08-10,34,39,19360,-99220,121,19.51%,ue
1047,CDE,1,2007-10-20,2007-08-13,783.40,25.76,780/750/710,0.27/0.29/0.32,0.85,2007-09-19,37,31,2759,-99820,92,2.76%,ue
1048,CDE,2,2007-11-17,2007-09-10,773.18,26.99,770/740/700,0.30/0.33/0.36,0.00,2007-10-09,29,39,6500,-100000,100,6.50%,ue
1049,CDE,3,2007-12-22,2007-10-15,827.51,19.77,830/800/760,0.22/0.24/0.28,1.10,2007-11-07,23,45,900,-99900,90,0.90%,le
1050,CDE,4,2008-01-19,2007-11-12,770.21,29.87,770/740/700,0.28/0.31/0.34,0.50,2007-12-17,35,33,17575,-99750,95,17.62%,tp
1051,CDE,5,2008-04-19,2008-02-11,698.58,27.56,700/670/630,0.31/0.33/0.36,0.60,2008-03-10,28,40,6109,-99639,94,6.13%,le
1052,CDE,6,2008-05-17,2008-03-10,645.25,29.48,650/620/580,0.31/0.33/0.36,1.00,2008-04-04,25,43,3375,-99000,90,3.41%,ew
1053,CDE,7,2008-09-20,2008-07-14,667.23,28.05,670/640/600,0.29/0.31/0.34,1.05,2008-08-06,23,45,2925,-99449,90,2.94%,ew
1054,CDE,8,2008-11-22,2008-09-15,695.27,30.10,700/670/630,0.31/0.32/0.34,0.80,2008-10-02,17,51,-14260,-99359,92,-14.35%,le
1055,CDE,9,2009-01-17,2008-11-10,492.34,61.41,490/460/420,0.55/0.58/0.63,0.05,2008-11-18,8,60,-10890,-99495,99,-10.95%,le
1056,CDE,10,2009-02-21,2008-12-15,453.66,57.09,450/420/380,0.61/0.64/0.69,-0.15,2009-01-14,30,38,20705,-99485,101,20.81%,tp
1057,CDE,11,2009-03-21,2009-01-12,468.26,46.41,470/440/400,0.50/0.53/0.58,0.55,2009-02-11,30,38,20209,-99170,94,20.38%,tp
1058,CDE,12,2011-05-21,2011-03-14,799.66,21.10,800/770/730,0.27/0.29/0.32,0.75,2011-04-15,32,36,10462,-99975,93,10.46%,ue
1059,CDE,13,2011-06-18,2011-04-11,832.87,16.74,830/800/760,0.24/0.26/0.28,0.90,2011-05-16,35,33,20929,-99190,91,21.10%,tp
1060,CDE,14,2012-01-21,2011-11-14,732.53,31.71,730/700/660,0.39/0.42/0.46,-0.20,2011-11-23,9,59,-2550,-99960,102,-2.55%,le
1061,CDE,15,2012-02-18,2011-12-12,730.76,26.25,730/700/660,0.36/0.38/0.41,0.10,2012-01-10,29,39,12375,-99990,99,12.38%,ue
1062,CDE,16,2012-06-16,2012-04-09,805.34,18.16,810/780/740,0.24/0.26/0.28,1.10,2012-05-10,31,37,18900,-99900,90,18.92%,tp
1063,CDE,17,2012-07-21,2012-05-14,780.18,21.74,780/750/710,0.27/0.29/0.32,0.90,2012-06-01,18,50,455,-99190,91,0.46%,le
1064,CDE,18,2012-08-18,2012-06-11,756.81,22.47,760/730/690,0.28/0.30/0.32,0.95,2012-07-10,29,39,10009,-99645,91,10.04%,ue
1065,CDE,19,2014-06-21,2014-04-14,1112.43,16.60,1110/1080/1040,0.22/0.23/0.25,0.45,2014-05-13,29,39,19950,-99275,95,20.10%,tp
1066,CDE,20,2014-11-22,2014-09-15,1147.70,14.00,1150/1120/1080,0.18/0.19/0.21,1.05,2014-09-30,15,53,3149,-99449,90,3.17%,le
1067,CDE,21,2014-12-20,2014-10-13,1051.29,23.47,1050/1020/980,0.24/0.25/0.27,0.50,2014-10-31,18,50,-1899,-99750,95,-1.90%,ew
1068,CDE,22,2015-02-20,2014-12-12,1154.33,21.40,1150/1120/1080,0.23/0.24/0.26,0.20,2015-01-22,41,29,11759,-99960,98,11.76%,ue
1069,CDE,23,2015-03-20,2015-01-09,1188.63,17.29,1190/1160/1120,0.21/0.22/0.24,0.55,2015-02-13,35,35,8930,-99169,94,9.00%,ue
1070,CDE,24,2015-04-17,2015-02-06,1202.28,18.57,1200/1170/1130,0.21/0.23/0.24,0.20,2015-03-12,34,36,10289,-99959,98,10.29%,ue
1071,CDE,25,2015-05-15,2015-03-06,1214.65,15.70,1210/1180/1140,0.18/0.20/0.21,0.60,2015-04-06,31,39,3759,-99640,94,3.77%,ue
1072,CDE,26,2015-08-21,2015-06-12,1264.68,13.72,1260/1230/1190,0.16/0.18/0.20,1.00,2015-07-20,38,32,18899,-99000,90,19.09%,tp
1073,CDE,27,2015-10-16,2015-08-07,1204.41,13.80,1200/1170/1130,0.18/0.20/0.21,0.60,2015-08-21,14,56,-940,-99640,94,-0.94%,le
1074,CDE,28,2015-12-19,2015-10-12,1163.98,16.23,1160/1130/1090,0.19/0.21/0.22,0.90,2015-11-19,38,30,15924,-99190,91,16.05%,tp
1075,CDE,29,2016-02-19,2015-12-11,1118.06,25.08,1120/1090/1050,0.22/0.24/0.26,0.50,2016-01-07,27,43,-950,-99750,95,-0.95%,le
1076,CDE,30,2016-03-18,2016-01-08,1049.92,25.76,1050/1020/980,0.25/0.26/0.28,0.20,2016-01-15,7,63,-5880,-99960,98,-5.88%,le
1077,CDE,31,2016-04-15,2016-02-05,988.17,23.75,990/960/920,0.27/0.28/0.30,0.00,2016-03-07,31,39,4250,-100000,100,4.25%,ue
1078,CDE,32,2016-07-15,2016-05-06,1109.07,15.04,1110/1080/1040,0.20/0.21/0.23,0.80,2016-06-06,31,39,230,-99359,92,0.23%,ue
1079,CDE,33,2016-08-19,2016-06-10,1163.65,17.23,1160/1130/1090,0.20/0.21/0.23,0.80,2016-06-27,17,53,-6440,-99360,92,-6.48%,le
1080,CDE,34,2016-11-18,2016-09-09,1224.11,16.76,1220/1190/1150,0.19/0.21/0.23,0.55,2016-10-10,31,39,5640,-99170,94,5.69%,ue
1081,CDE,35,2016-12-16,2016-10-07,1236.43,13.37,1240/1210/1170,0.18/0.20/0.21,0.70,2016-10-27,20,50,5580,-99510,93,5.61%,le
1082,CDE,36,2017-03-17,2017-01-06,1369.25,11.36,1370/1340/1300,0.17/0.19/0.20,0.70,2017-02-15,40,30,11624,-99509,93,11.68%,ue
1083,CDE,37,2017-10-20,2017-08-11,1374.10,16.05,1370/1340/1300,0.17/0.19/0.21,0.60,2017-09-11,31,39,1880,-99640,94,1.89%,ue
1084,CDE,38,2018-06-15,2018-04-06,1514.22,21.47,1510/1480/1440,0.18/0.19/0.21,0.30,2018-05-07,31,39,3395,-99910,97,3.40%,ue
1085,CDE,39,2018-09-21,2018-07-13,1687.75,12.28,1690/1660/1620,0.13/0.14/0.16,0.85,2018-08-22,40,30,5060,-99820,92,5.07%,ue
1086,CDE,40,2018-11-16,2018-09-07,1711.50,14.99,1710/1680/1640,0.14/0.15/0.16,0.75,2018-10-02,25,45,11160,-99975,93,11.16%,le
1087,CDE,41,2018-12-21,2018-10-12,1545.33,21.85,1550/1520/1480,0.19/0.20/0.21,-0.35,2018-10-24,12,58,-9785,-99395,103,-9.84%,le
1088,CDE,42,2019-01-18,2018-11-09,1553.02,17.04,1550/1520/1480,0.19/0.20/0.22,-0.20,2018-11-14,5,65,-4589,-99960,102,-4.59%,le
1089,CDE,43,2019-02-15,2018-12-07,1448.17,23.22,1450/1420/1380,0.23/0.24/0.25,-0.80,2018-12-14,7,63,-5399,-99360,108,-5.43%,le
1090,CDE,44,2019-05-17,2019-03-08,1520.10,16.75,1520/1490/1450,0.17/0.18/0.20,0.10,2019-04-08,31,39,5940,-99990,99,5.94%,ue
1091,CDE,45,2019-10-18,2019-08-09,1513.04,17.36,1510/1480/1440,0.17/0.19/0.20,-0.10,2019-08-14,5,65,-7575,-99990,101,-7.58%,le
1092,CDE,46,2019-11-15,2019-09-06,1505.17,15.00,1510/1480/1440,0.17/0.18/0.20,0.05,2019-10-17,41,29,12374,-99495,99,12.44%,ue
1093,CDE,47,2020-02-21,2019-12-13,1635.66,12.69,1640/1610/1570,0.14/0.15/0.16,0.70,2020-01-14,32,38,4650,-99510,93,4.67%,ue
1094,CDE,48,2020-03-20,2020-01-10,1655.79,12.78,1660/1630/1590,0.14/0.15/0.16,0.65,2020-01-31,21,49,-7905,-99045,93,-7.98%,le
1095,CDE,49,2020-04-17,2020-02-07,1658.06,15.47,1660/1630/1590,0.15/0.16/0.18,0.50,2020-02-25,18,52,-18525,-99750,95,-18.57%,le
1096,CDE,50,2020-05-15,2020-03-06,1435.79,45.35,1440/1410/1370,0.34/0.36/0.38,-1.30,2020-03-09,3,67,-22800,-99179,114,-22.99%,le
1097,CDE,51,2020-06-19,2020-04-13,1212.04,41.70,1210/1180/1140,0.42/0.44/0.46,-1.85,2020-05-11,28,39,15860,-99430,122,15.95%,ue
1098,CD,1,2007-10-20,2007-08-13,783.40,25.76,780/750/710,0.27/0.29/0.32,0.85,2007-09-19,37,31,2759,-99820,92,2.76%,ue
1099,CD,2,2007-11-17,2007-09-10,773.18,26.99,770/740/700,0.30/0.33/0.36,0.00,2007-10-09,29,39,6500,-100000,100,6.50%,ue
1100,CD,3,2007-12-22,2007-10-15,827.51,19.77,830/800/760,0.22/0.24/0.28,1.10,2007-11-07,23,45,900,-99900,90,0.90%,le
1101,CD,4,2008-01-19,2007-11-12,770.21,29.87,770/740/700,0.28/0.31/0.34,0.50,2007-12-17,35,33,17575,-99750,95,17.62%,tp
1102,CD,5,2008-04-19,2008-02-11,698.58,27.56,700/670/630,0.31/0.33/0.36,0.60,2008-03-10,28,40,6109,-99639,94,6.13%,le
1103,CD,6,2008-05-17,2008-03-10,645.25,29.48,650/620/580,0.31/0.33/0.36,1.00,2008-04-08,29,39,2700,-99000,90,2.73%,ue
1104,CD,7,2008-09-20,2008-07-14,667.23,28.05,670/640/600,0.29/0.31/0.34,1.05,2008-08-12,29,39,450,-99449,90,0.45%,ue
1105,CD,8,2008-11-22,2008-09-15,695.27,30.10,700/670/630,0.31/0.32/0.34,0.80,2008-10-02,17,51,-14260,-99359,92,-14.35%,le
1106,CD,9,2009-01-17,2008-11-10,492.34,61.41,490/460/420,0.55/0.58/0.63,0.05,2008-11-18,8,60,-10890,-99495,99,-10.95%,le
1107,CD,10,2009-02-21,2008-12-15,453.66,57.09,450/420/380,0.61/0.64/0.69,-0.15,2009-01-14,30,38,20705,-99485,101,20.81%,tp
1108,CD,11,2009-03-21,2009-01-12,468.26,46.41,470/440/400,0.50/0.53/0.58,0.55,2009-02-11,30,38,20209,-99170,94,20.38%,tp
1109,CD,12,2011-05-21,2011-03-14,799.66,21.10,800/770/730,0.27/0.29/0.32,0.75,2011-04-15,32,36,10462,-99975,93,10.46%,ue
